Compound Name,/home/zzy/testQuanFormer/QuanFormer/resources/example/profile_output/BC_1_Retention Time,/home/zzy/testQuanFormer/QuanFormer/resources/example/profile_output/BC_2_Retention Time,/home/zzy/testQuanFormer/QuanFormer/resources/example/profile_output/BC_1_Area,/home/zzy/testQuanFormer/QuanFormer/resources/example/profile_output/BC_2_Area,/home/zzy/testQuanFormer/QuanFormer/resources/example/profile_output/BC_1_Point counts,/home/zzy/testQuanFormer/QuanFormer/resources/example/profile_output/BC_2_Point counts,mz,RT
1,2.970785441621,3.00127517643,2243155.498,5861289.614,397.0,395.0,103.04007,2.99
2,11.092544673506,11.090525808557,77775.081,101402.404,411.0,410.0,147.0299,10.45
3,0.0,0.0,0.0,0.0,0.0,0.0,145.05063,9.65
4,0.0,0.0,0.0,0.0,0.0,0.0,161.04555,9.84
5,0.0,0.0,0.0,0.0,0.0,0.0,184.98566,12.03
6,1.464286707465,1.430609777196,12978.956,19771.888,15.0,16.0,182.04588,1.46
7,8.532608992481,8.565070444965,64359.698,125725.821,156.0,134.0,130.05097,8.36
8,5.462612258021,5.410030025864,97003.934,238784.766,136.0,251.0,116.03532,5.45
9,0.0,0.0,0.0,0.0,0.0,0.0,145.05063,9.59
10,8.845461108907,8.911335427189,18678.036,33995.276,134.0,181.0,160.06153,9.75
11,12.107329708958,12.075996775055,9541.523,11655.286,346.0,349.0,201.1357,12.32
12,8.639091939354,8.61969015859,644672.551,872270.155,242.0,263.0,88.0404,9.06
13,1.403981108093,1.400648711745,2033555.259,125066.264,105.0,73.0,448.30685,1.46
14,1.514436406517,0.895174728457,220228.185,2929.636,62.0,20.0,465.3044,1.0
15,1.514436406517,1.511747875436,505102.299,215723.73,68.0,66.0,407.2803,1.56
16,12.702678841972,12.725838592275,5172.714,6914.194,186.0,205.0,173.00916,12.1
17,11.092544673506,11.090525808557,74392.139,98389.219,365.0,382.0,147.0299,10.22
18,12.702678841972,12.456586892033,27877.882,14280.904,271.0,161.0,191.01973,12.41
19,9.602941674614,9.559285659218,294297.125,355887.906,376.0,361.0,174.08841,9.87
20,8.528707057858,8.529393925889,59468.281,157094.457,168.0,215.0,130.0622,8.39
21,3.286350324376,3.325413058821,1578148.43,590154.519,368.0,222.0,112.05164,3.31
22,2.270857857291,2.272843009853,8326.406,9480.155,43.0,146.0,227.06735,2.5
23,7.799250776196,7.688817761962,1852305.002,2477403.487,410.0,396.0,179.05611,7.4
24,10.525956406816,10.524757042154,43552.188,56576.111,351.0,352.0,193.03538,9.94
25,4.805827441438,4.78033575875,65738889.73,64644257.981,455.0,425.0,89.02442,4.75
26,9.952765141551,9.963083444659,336855.51,543567.238,399.0,384.0,146.04588,9.33
27,0.0,11.580009709422,0.0,48.849,0.0,3.0,259.02244,10.77
28,11.637261123085,11.621805809561,30381.783,44047.052,273.0,276.0,115.00368,10.75
29,7.563002573077,7.496501945082,59372.504,65431.573,287.0,298.0,181.07176,7.72
30,10.683011490726,10.711465027555,22588.773,23347.305,291.0,231.0,131.03498,10.16
31,6.850010973835,6.823704976463,170358.99,226752.489,316.0,324.0,105.01933,7.19
32,10.789340490723,10.77973459425,3819.91,2955.132,202.0,159.0,171.0064,10.16
33,7.476376758639,7.523697295411,9651.34,12156.531,104.0,94.0,256.09555,8.38
34,9.31174634161,9.302632092063,630621.111,789713.543,326.0,305.0,74.02475,9.18
35,10.387828789775,10.375778959815,1916.606,2421.91,88.0,92.0,174.05203,10.18
36,9.254770941162,9.199771025403,1504.55,1679.826,43.0,38.0,116.04655,9.13
37,6.923100406551,6.968651825809,8996.835,12380.274,124.0,145.0,282.08439,6.98
38,2.320899942144,2.073346478367,237938.793,477870.95,213.0,238.0,178.05097,2.18
39,1.524598656718,1.531882527097,77164.786,102158.968,128.0,130.0,131.07137,1.56
40,5.024815422916,4.81936486028,151187.691,200637.145,303.0,247.0,181.05063,4.57
41,8.720640789096,8.7407778766,4599.301,4318.167,92.0,68.0,108.01247,8.68
42,3.895175606632,3.829821191851,555135.749,728336.244,316.0,365.0,135.03123,3.79
43,2.409953572973,2.422738828882,19003.621,550.215,110.0,13.0,186.05605,1.36
44,2.936538941288,2.879753059769,484520.296,1307813.958,351.0,339.0,212.0023,2.78
45,5.230998276297,5.18706724507,194671.236,269078.558,362.0,270.0,267.07349,5.22
46,12.702678841972,12.456586892033,27824.485,17896.857,278.0,179.0,191.01973,13.01
47,8.639091939354,8.61969015859,648469.017,889417.934,237.0,265.0,88.0404,8.51
48,14.169592490419,14.127676326656,170926.594,237360.027,504.0,471.0,173.1044,14.7
49,9.31174634161,9.257925560697,258373.313,266799.88,342.0,316.0,131.04622,9.18
50,10.136135024452,10.151987944667,110696.703,159480.742,390.0,377.0,132.03023,9.66
51,0.0,10.68586542867,0.0,955.087,0.0,28.0,221.06015,10.58
