Compound Name,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B1_Retention Time,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B2_Retention Time,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B3_Retention Time,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B1_Area,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B2_Area,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B3_Area,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B1_Point counts,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B2_Point counts,/home/zzy/testQuanFormer/QuanFormer/resources/example/untargeted_centroided_output/B3_Point counts,mz,RT
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9952517656347,5.073995971679683
2,5.076683333333,5.107266666667,5.05515,2578.499,2018.265,2019.291,21.0,19.0,17.0,54.9770082868523,5.074017000325683
3,13.07295,13.0869,13.084666666667,108839.478,95058.53,91916.851,65.0,67.0,66.0,56.9959154943398,13.086900000000002
4,0.6214,0.6021,0.599866666667,2013.173,1731.611,1418.023,26.0,24.0,18.0,56.9957640249239,0.6353636423746749
5,1.5856,1.566316666667,1.54745,505.017,430.967,460.165,14.0,10.0,13.0,57.0346027804143,1.5829355875651032
6,0.0,5.37325,5.404266666667,0.0,104.713,173.705,0.0,3.0,11.0,57.034550628597,5.406571960449217
7,1.469233333333,1.449933333333,1.464316666667,125.751,140.544,131.252,4.0,9.0,5.0,57.9755214619928,1.4832023620605466
8,6.0409,6.05485,6.052616666667,11279.295,10940.762,11356.779,20.0,23.0,22.0,59.0142453067149,6.05485
9,2.051083333333,2.031783333333,2.012916666667,5758.049,4982.129,5223.685,26.0,15.0,25.0,59.0138520631562,2.031800587972
10,5.74165,5.755616666667,5.753366666667,9070.306,7171.0,7974.718,17.0,21.0,26.0,59.0141906580933,5.755707248942216
11,13.089566666667,13.103516666667,13.084666666667,414.477,261.546,275.075,13.0,5.0,7.0,58.9998468323672,13.070283166503733
12,3.314516666667,3.2786,3.292983333333,973.569,853.611,838.099,13.0,12.0,14.0,59.0249914958241,3.2935834248860667
13,0.0,0.0,5.80325,0.0,0.0,191.964,0.0,0.0,4.0,59.0492115082596,5.7557064046225666
14,13.0397,13.1534,13.051416666667,353.489,334.684,374.896,16.0,15.0,13.0,59.9852668882663,13.086917114257817
15,0.93725,0.917966666667,0.93235,232.234,156.042,283.496,8.0,6.0,10.0,60.0091852572024,0.9678511937459316
16,2.0677,1.998533333333,2.046166666667,117.206,80.743,96.153,5.0,6.0,4.0,60.0169854257684,2.0317917836508834
17,13.48855,13.103516666667,13.516883333333,9631.049,12067.581,13106.992,31.0,42.0,46.0,60.9930280769797,13.527441243489584
18,14.785233333333,14.932183333333,14.813583333333,7343.894,5330.268,3501.407,35.0,32.0,22.0,60.9929970908102,14.782575219726567
19,13.48855,13.103516666667,13.516883333333,9345.096,11051.109,12006.761,30.0,39.0,41.0,60.9930189686081,13.078583284505383
20,0.0,0.0,5.25465,0.0,0.0,3805.782,0.0,0.0,26.0,60.9930286346305,5.265200170898267
21,0.0,0.0,8.047516666667,0.0,0.0,4631.748,0.0,0.0,27.0,60.9930482354067,8.1328837076823
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9930928278317,2.6459306081136003
23,2.383566666667,2.464016666667,2.428533333333,11356.069,11005.819,10601.836,55.0,53.0,41.0,61.9883098084966,2.4307683308919334
24,4.36185,4.342550260417,4.373566666667,7253.922,7026.869,6351.529,30.0,38.0,34.0,61.9883440625266,4.359183333332999
25,5.758283333333,5.755616666667,5.77,18941.34,17814.557,16846.505,47.0,63.0,55.0,61.9885451128634,5.738983498128083
26,5.758283333333,5.755616666667,0.0,19195.218,18013.68,0.0,47.0,64.0,0.0,61.9885581226237,6.0964082458496165
27,0.9705,0.984466666667,0.9656,2109.703,1715.109,1712.716,15.0,18.0,15.0,68.9957368051293,0.9678511937459316
28,5.126566666667,5.074016666667,5.0884,214.421,156.965,183.109,5.0,5.0,8.0,69.0093628102524,5.1072669596355835
29,6.057516666667,6.038233333333,6.052616666667,4534.17,4448.501,4561.543,21.0,22.0,20.0,71.0141473935196,6.05485
30,0.0,2.148150130208,0.0,0.0,171.126,0.0,0.0,7.0,0.0,71.0136491416768,1.6660685221354166
31,5.758283333333,5.755616666667,5.753366666667,3537.46,2985.317,2812.504,17.0,21.0,17.0,71.0141828615453,5.747390582275217
32,1.253116666667,1.25045,1.28145,129.875,99.747,94.575,5.0,9.0,4.0,71.0500051331472,1.2587678873697916
33,0.0,6.05485,6.052616666667,0.0,112.258,99.378,0.0,12.0,7.0,71.0500447342759,6.071483333333
34,13.5218,13.519133333333,13.516883333333,2764.633,2365.07,2277.327,30.0,26.0,19.0,72.9696929292161,13.519133333333
35,2.400183333333,2.34765,2.3454,315.807,299.118,258.865,13.0,11.0,12.0,73.0293102304093,2.34764251708985
36,13.4553,13.519133333333,13.483633333333,83.623,49.151,144.942,2.0,3.0,5.0,74.9685116084127,13.544066202799483
37,1.352866666667,1.3502,1.34795,329.304,221.075,261.947,9.0,7.0,7.0,74.9907947367737,1.3776836944580082
38,1.286366666667,1.267066666667,1.28145,625.359,519.743,521.174,9.0,10.0,8.0,77.0397118947754,1.2837024688720702
39,1.286366666667,1.267066666667,1.264833333333,100.153,58.404,53.415,6.0,4.0,4.0,78.0430428837663,1.2837
40,4.97695,4.9909,4.98865,5004.764,4774.574,4590.749,10.0,10.0,9.0,78.9188492051925,4.990900337727867
41,0.58815,0.6021,0.599866666667,1297.026,1150.125,1504.799,18.0,12.0,16.0,78.959129590297,0.6353636423746749
42,5.87465,5.855366666667,5.886366666667,1747.435,1609.688,1637.931,25.0,16.0,21.0,79.9575458280493,5.863764190673833
43,8.06905,8.11625,8.130633333333,962.603,603.411,1072.258,16.0,15.0,24.0,79.9573092053367,8.099633333333
44,0.920633333333,0.917966666667,0.915716666667,4079.759,3455.973,3599.169,19.0,20.0,19.0,79.9571843495598,0.9179674148559567
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9458317718707,5.024150337727867
46,0.904,0.901333333333,0.8991,304.708,506.82,401.049,3.0,5.0,4.0,80.9654414598745,0.9096503740944784
47,0.6214,0.6021,0.616483333333,123.211,92.482,200.225,4.0,2.0,7.0,80.9744531198638,0.6628550847371417
48,0.904,0.884716666667,0.8991,219.392,136.506,207.348,5.0,2.0,9.0,81.953348252846,0.9663803736368817
49,1.851583333333,1.848916666667,1.83005,581.138,525.666,578.03,12.0,14.0,14.0,82.9541625216462,1.8342690785725833
50,5.109933333333,5.09065,5.0884,1177.351,1048.329,864.945,13.0,15.0,15.0,82.9721146520832,5.090622456868483
51,13.0397,13.0869,13.084666666667,2490.445,2081.058,2056.392,24.0,24.0,22.0,82.975130271184,13.086900000000002
52,1.053616666667,1.034333333333,1.048716666667,323.733,209.271,291.568,8.0,3.0,9.0,83.0136580528444,1.0675851186116534
53,0.58815,0.6021,0.599866666667,829.019,651.877,562.305,11.0,12.0,8.0,84.0091903164795,0.6353568211873367
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0091237501042,14.7077587117513
55,13.089566666667,13.070283333333,13.101283333333,32840.98,29569.382,28211.308,65.0,62.0,54.0,84.9907729044803,13.086900000000002
56,0.58815,0.618733333333,0.599866666667,741.313,642.37,656.756,14.0,6.0,12.0,84.9909794290966,0.6353636423746749
57,1.834966666667,1.815666666667,1.83005,161.57,139.914,191.575,8.0,6.0,12.0,84.9514567259624,1.8332851409912165
58,1.5856,1.449933333333,1.564066666667,1205.303,1110.479,997.484,19.0,21.0,17.0,85.0294828276683,1.5746261133828083
59,6.057516666667,6.0216,6.035983333333,1120.213,974.327,980.291,21.0,16.0,17.0,85.0299025926699,6.05485
