sample_id,uid,ai_chrom_index,n_ai_peaks,n_trad_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order,plot_path
test3_36,alachlor-1,381,1,1,0,0,GREEN,1,plots\test3_36\0001_chrom381_alachlor-1_GREEN.png
test3_8,albendazole-2,268,1,1,0,0,GREEN,2,plots\test3_8\0002_chrom268_albendazole-2_GREEN.png
test3_15,iprovalicarb-1,375,1,1,0,0,GREEN,3,plots\test3_15\0003_chrom375_iprovalicarb-1_GREEN.png
test3_41,demeton-S-sulfoxide-1,67,1,1,0,0,GREEN,4,plots\test3_41\0004_chrom067_demeton-S-sulfoxide-1_GREEN.png
test3_35,propyzamide-2,308,1,1,0,0,GREEN,5,plots\test3_35\0005_chrom308_propyzamide-2_GREEN.png
test3_6,buprofezin-2,620,1,1,0,0,GREEN,6,plots\test3_6\0006_chrom620_buprofezin-2_GREEN.png
test3_20,Chloridazon-1,71,1,1,0,0,GREEN,7,plots\test3_20\0007_chrom071_Chloridazon-1_GREEN.png
test3_42,sulfotep-1,473,1,1,0,0,GREEN,8,plots\test3_42\0008_chrom473_sulfotep-1_GREEN.png
test3_10,fluazifop-2,618,1,1,0,0,GREEN,9,plots\test3_10\0009_chrom618_fluazifop-2_GREEN.png
test3_33,halosulfuron-methyl-1,301,1,1,0,0,GREEN,10,plots\test3_33\0010_chrom301_halosulfuron-methyl-1_GREEN.png
test3_29,carboxin-2,160,1,1,0,0,GREEN,11,plots\test3_29\0011_chrom160_carboxin-2_GREEN.png
test3_51,pirimicarb-desmethyl-formamido-2,142,1,1,0,0,GREEN,12,plots\test3_51\0012_chrom142_pirimicarb-desmethyl-formamido-2_GREEN.png
