sample_id,ai_chrom_index,uid,n_ai_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order
test3_36,381.0,alachlor-1,1,0,0,GREEN,1
test3_8,268.0,albendazole-2,1,0,0,GREEN,2
test3_15,375.0,iprovalicarb-1,1,0,0,GREEN,3
test3_41,67.0,demeton-S-sulfoxide-1,1,0,0,GREEN,4
test3_35,308.0,propyzamide-2,1,0,0,GREEN,5
test3_6,620.0,buprofezin-2,1,0,0,GREEN,6
test3_20,71.0,Chloridazon-1,1,0,0,GREEN,7
test3_42,473.0,sulfotep-1,1,0,0,GREEN,8
test3_10,618.0,fluazifop-2,1,0,0,GREEN,9
test3_33,301.0,halosulfuron-methyl-1,1,0,0,GREEN,10
test3_29,160.0,carboxin-2,1,0,0,GREEN,11
test3_51,142.0,pirimicarb-desmethyl-formamido-2,1,0,0,GREEN,12
