schema_version,sample_id,sample_alert_level,sample_confidence,matched_confidence_p10,matched_confidence_median,all_event_comparison_confidence_p10,match_coverage,n_rows,n_reference_rows,n_matched,n_info,n_green,n_yellow,n_red,n_unavailable,n_review_required,n_ai_miss,n_ai_extra,n_ambiguous,min_confidence
comparison_confidence_v2_1,test3_1,RED,,,,0.0,0.0,704,704,0,0,0,0,688,16,704,688,0,0,0.0
comparison_confidence_v2_1,test3_10,RED,0.7364766095382189,0.7591540417967271,0.8938966386158532,0.033891488423117316,0.9701280227596017,1095,704,682,0,555,121,418,1,540,21,391,1,0.0
comparison_confidence_v2_1,test3_11,RED,0.7469820578870938,0.7666107834958058,0.8992198603965096,0.03256385613348013,0.9743954480796586,1129,704,685,0,565,115,448,1,564,18,425,1,0.0
comparison_confidence_v2_1,test3_12,RED,0.7355735586414959,0.7537755244302956,0.9002432625325052,0.031791944601640816,0.9758522727272727,1077,704,687,0,558,124,395,0,519,17,373,1,0.0
comparison_confidence_v2_1,test3_13,RED,0.7461966382292065,0.7591364643256667,0.8939989071408716,0.03738940255030722,0.9829545454545454,1098,704,692,0,558,133,407,0,540,12,394,1,0.0
comparison_confidence_v2_1,test3_14,RED,0.7537573478264766,0.7701910109331586,0.8982023053459247,0.031821581268332386,0.9786628733997155,1108,704,688,0,577,103,427,1,531,15,404,1,0.0
comparison_confidence_v2_1,test3_15,RED,0.7972731706760986,0.8029842965405406,0.9080052720023468,0.05152322721705401,0.9928876244665719,935,704,698,0,626,70,237,2,309,5,231,0,0.0
comparison_confidence_v2_1,test3_16,RED,0.7948931080729723,0.8005790387458834,0.9107426922396059,0.06306199733646266,0.9928977272727273,943,704,699,0,627,70,246,0,316,5,239,1,0.0
comparison_confidence_v2_1,test3_17,RED,0.7945061635403182,0.8048095575919938,0.9074841897551673,0.049257653765846385,0.9871977240398293,930,704,694,0,626,67,235,2,304,9,226,0,0.0
comparison_confidence_v2_1,test3_18,RED,0.7866698623589322,0.7945704205174867,0.9097360837797656,0.04996934669228809,0.9900568181818182,932,704,697,0,619,73,240,0,313,7,228,1,0.0
comparison_confidence_v2_1,test3_19,RED,0.7906050990873034,0.7974011314576813,0.9098620128214814,0.052360457205062515,0.9914772727272727,940,704,698,0,623,72,245,0,317,6,236,0,0.0
