"sample_id","uid","ai_chrom_index","n_ai_peaks","n_trad_peaks","n_ignored_weak","n_review_required","channel_alert_level","random_order","plot_path","review_filename","source_absolute_path","review_absolute_path"
"test3_9","acetochlor-1","379","2","1","0","2","RED","6","plots\test3_9\0006_chrom379_acetochlor-1_RED.png","test3_9_0006_chrom379_acetochlor-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_9\0006_chrom379_acetochlor-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_9_0006_chrom379_acetochlor-1_RED.png"
"test3_8","napropamide-2","388","3","1","0","2","RED","11","plots\test3_8\0011_chrom388_napropamide-2_RED.png","test3_8_0011_chrom388_napropamide-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_8\0011_chrom388_napropamide-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_8_0011_chrom388_napropamide-2_RED.png"
"test3_19","fenobucarb-2","260","2","1","0","1","RED","16","plots\test3_19\0016_chrom260_fenobucarb-2_RED.png","test3_19_0016_chrom260_fenobucarb-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_19\0016_chrom260_fenobucarb-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_19_0016_chrom260_fenobucarb-2_RED.png"
"test3_24","aldicarb sulfoxide-1","11","1","1","0","1","YELLOW","25","plots\test3_24\0025_chrom011_aldicarb sulfoxide-1_YELLOW.png","test3_24_0025_chrom011_aldicarb sulfoxide-1_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_24\0025_chrom011_aldicarb sulfoxide-1_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_24_0025_chrom011_aldicarb sulfoxide-1_YELLOW.png"
"test3_12","phorate sulfone-1","191","3","1","0","2","RED","27","plots\test3_12\0027_chrom191_phorate sulfone-1_RED.png","test3_12_0027_chrom191_phorate sulfone-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_12\0027_chrom191_phorate sulfone-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_12_0027_chrom191_phorate sulfone-1_RED.png"
"test3_13","EPN-1","545","2","1","0","1","RED","46","plots\test3_13\0046_chrom545_EPN-1_RED.png","test3_13_0046_chrom545_EPN-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_13\0046_chrom545_EPN-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_13_0046_chrom545_EPN-1_RED.png"
"test3_5","silthiofam-2","448","1","1","0","1","YELLOW","60","plots\test3_5\0060_chrom448_silthiofam-2_YELLOW.png","test3_5_0060_chrom448_silthiofam-2_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_5\0060_chrom448_silthiofam-2_YELLOW.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_5_0060_chrom448_silthiofam-2_YELLOW.png"
"test3_5","cyproconazole-1","409","4","1","0","3","RED","63","plots\test3_5\0063_chrom409_cyproconazole-1_RED.png","test3_5_0063_chrom409_cyproconazole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_5\0063_chrom409_cyproconazole-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_5_0063_chrom409_cyproconazole-1_RED.png"
"test3_32","oxamyl-1","17","6","1","1","4","RED","66","plots\test3_32\0066_chrom017_oxamyl-1_RED.png","test3_32_0066_chrom017_oxamyl-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_32\0066_chrom017_oxamyl-1_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_32_0066_chrom017_oxamyl-1_RED.png"
"test3_14","sulfentrazone-2","154","3","1","0","2","RED","71","plots\test3_14\0071_chrom154_sulfentrazone-2_RED.png","test3_14_0071_chrom154_sulfentrazone-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\plots\test3_14\0071_chrom154_sulfentrazone-2_RED.png","D:\yinlibo\MRMPFormer\model\project_review\full_rerun_random3000_20260916\random3000_channels\RED_YELLOW_review\test3_14_0071_chrom154_sulfentrazone-2_RED.png"
