sample_id,uid,ai_chrom_index,n_ai_peaks,n_trad_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order,plot_path
test3_6,cinosulfuron-1,107,1,1,0,0,GREEN,1,plots\test3_6\0001_chrom107_cinosulfuron-1_GREEN.png
test3_6,cyprodinil-2,420,1,1,0,0,GREEN,2,plots\test3_6\0002_chrom420_cyprodinil-2_GREEN.png
test3_28,pyriftalid-2,272,1,1,0,0,GREEN,3,plots\test3_28\0003_chrom272_pyriftalid-2_GREEN.png
test3_17,picoxystrobin-1,457,1,1,0,0,GREEN,4,plots\test3_17\0004_chrom457_picoxystrobin-1_GREEN.png
test3_17,metsulfuron-methyl-2,128,1,1,0,0,GREEN,5,plots\test3_17\0005_chrom128_metsulfuron-methyl-2_GREEN.png
test3_9,acetochlor-1,379,2,1,0,2,RED,6,plots\test3_9\0006_chrom379_acetochlor-1_RED.png
test3_54,pyraclostrobin-1,529,1,1,0,0,GREEN,7,plots\test3_54\0007_chrom529_pyraclostrobin-1_GREEN.png
test3_52,clomazone-2,246,1,1,0,0,GREEN,8,plots\test3_52\0008_chrom246_clomazone-2_GREEN.png
test3_9,acetamiprid-2,58,1,1,0,0,GREEN,9,plots\test3_9\0009_chrom058_acetamiprid-2_GREEN.png
test3_44,pyridalyl-1,701,1,1,0,0,GREEN,10,plots\test3_44\0010_chrom701_pyridalyl-1_GREEN.png
test3_8,napropamide-2,388,3,1,0,2,RED,11,plots\test3_8\0011_chrom388_napropamide-2_RED.png
test3_37,etrimfos-1,455,1,1,0,0,GREEN,12,plots\test3_37\0012_chrom455_etrimfos-1_GREEN.png
test3_56,mandipropamid-2,336,1,1,0,0,GREEN,13,plots\test3_56\0013_chrom336_mandipropamid-2_GREEN.png
test3_51,flumorph-1,243,1,1,0,0,GREEN,14,plots\test3_51\0014_chrom243_flumorph-1_GREEN.png
test3_40,simazine-1,137,1,1,0,0,GREEN,15,plots\test3_40\0015_chrom137_simazine-1_GREEN.png
test3_19,fenobucarb-2,260,2,1,0,1,RED,16,plots\test3_19\0016_chrom260_fenobucarb-2_RED.png
test3_38,flonicamid-2,24,1,1,0,0,GREEN,17,plots\test3_38\0017_chrom024_flonicamid-2_GREEN.png
test3_42,fenamiphos sulfoxide-2,152,1,1,0,0,GREEN,18,plots\test3_42\0018_chrom152_fenamiphos sulfoxide-2_GREEN.png
test3_25,fenamiphos sulfone-2,162,1,1,0,0,GREEN,19,plots\test3_25\0019_chrom162_fenamiphos sulfone-2_GREEN.png
test3_46,Fenoxycarb-2,426,1,1,0,0,GREEN,20,plots\test3_46\0020_chrom426_Fenoxycarb-2_GREEN.png
test3_26,thifluzamide-1,413,1,1,0,0,GREEN,21,plots\test3_26\0021_chrom413_thifluzamide-1_GREEN.png
test3_40,benzoximate-1,531,1,1,0,0,GREEN,22,plots\test3_40\0022_chrom531_benzoximate-1_GREEN.png
test3_43,3-hydroxy carbofuran-2,52,1,1,0,0,GREEN,23,plots\test3_43\0023_chrom052_3-hydroxy carbofuran-2_GREEN.png
test3_18,tolclofos-methyl-1,501,1,1,0,0,GREEN,24,plots\test3_18\0024_chrom501_tolclofos-methyl-1_GREEN.png
test3_24,aldicarb sulfoxide-1,11,1,1,0,1,YELLOW,25,plots\test3_24\0025_chrom011_aldicarb sulfoxide-1_YELLOW.png
test3_22,chlorfluazuron-1,679,1,1,0,0,GREEN,26,plots\test3_22\0026_chrom679_chlorfluazuron-1_GREEN.png
test3_12,phorate sulfone-1,191,3,1,0,2,RED,27,plots\test3_12\0027_chrom191_phorate sulfone-1_RED.png
test3_32,metazosulfuron-2,242,1,1,0,0,GREEN,28,plots\test3_32\0028_chrom242_metazosulfuron-2_GREEN.png
test3_47,carbaryl-1,157,1,1,0,0,GREEN,29,plots\test3_47\0029_chrom157_carbaryl-1_GREEN.png
test3_10,isofenphos-methyl-1,475,1,1,0,0,GREEN,30,plots\test3_10\0030_chrom475_isofenphos-methyl-1_GREEN.png
test3_21,bioresmethrin-2,690,1,1,0,0,GREEN,31,plots\test3_21\0031_chrom690_bioresmethrin-2_GREEN.png
test3_35,thiamethoxam-2,26,1,1,0,0,GREEN,32,plots\test3_35\0032_chrom026_thiamethoxam-2_GREEN.png
test3_32,oxadiargyl-1,515,1,1,0,0,GREEN,33,plots\test3_32\0033_chrom515_oxadiargyl-1_GREEN.png
test3_31,tribenuron-methyl-2,216,1,1,0,0,GREEN,34,plots\test3_31\0034_chrom216_tribenuron-methyl-2_GREEN.png
test3_4,fluopyram-1,371,1,1,0,0,GREEN,35,plots\test3_4\0035_chrom371_fluopyram-1_GREEN.png
test3_11,pyraclostrobin-1,529,1,1,0,0,GREEN,36,plots\test3_11\0036_chrom529_pyraclostrobin-1_GREEN.png
test3_32,coumoxystrobin-1,653,1,1,0,0,GREEN,37,plots\test3_32\0037_chrom653_coumoxystrobin-1_GREEN.png
test3_48,orthosulfamuron-1,225,1,1,0,0,GREEN,38,plots\test3_48\0038_chrom225_orthosulfamuron-1_GREEN.png
test3_21,coumaphos-1,511,1,1,0,0,GREEN,39,plots\test3_21\0039_chrom511_coumaphos-1_GREEN.png
test3_41,propachlor-1,209,1,1,0,0,GREEN,40,plots\test3_41\0040_chrom209_propachlor-1_GREEN.png
test3_22,carbofuran-2,136,1,1,0,0,GREEN,41,plots\test3_22\0041_chrom136_carbofuran-2_GREEN.png
test3_31,zoxamide-1,479,1,1,0,0,GREEN,42,plots\test3_31\0042_chrom479_zoxamide-1_GREEN.png
test3_37,azinphos-methyl-1,247,1,1,0,0,GREEN,43,plots\test3_37\0043_chrom247_azinphos-methyl-1_GREEN.png
test3_50,probenazole-2,112,1,1,0,0,GREEN,44,plots\test3_50\0044_chrom112_probenazole-2_GREEN.png
test3_28,pyraflufen-ethyl-2,500,1,1,0,0,GREEN,45,plots\test3_28\0045_chrom500_pyraflufen-ethyl-2_GREEN.png
test3_13,EPN-1,545,2,1,0,1,RED,46,plots\test3_13\0046_chrom545_EPN-1_RED.png
test3_34,flucetosulfuron-1,275,1,1,0,0,GREEN,47,plots\test3_34\0047_chrom275_flucetosulfuron-1_GREEN.png
test3_38,chlorsulfuron-2,144,1,1,0,0,GREEN,48,plots\test3_38\0048_chrom144_chlorsulfuron-2_GREEN.png
test3_32,diazinon-2,498,1,1,0,0,GREEN,49,plots\test3_32\0049_chrom498_diazinon-2_GREEN.png
test3_7,simazine-1,137,1,1,0,0,GREEN,50,plots\test3_7\0050_chrom137_simazine-1_GREEN.png
test3_47,phorate sulfoxide-2,184,1,1,0,0,GREEN,51,plots\test3_47\0051_chrom184_phorate sulfoxide-2_GREEN.png
test3_10,fluazifop-1,617,1,1,0,0,GREEN,52,plots\test3_10\0052_chrom617_fluazifop-1_GREEN.png
test3_24,pyridalyl-1,701,1,1,0,0,GREEN,53,plots\test3_24\0053_chrom701_pyridalyl-1_GREEN.png
test3_51,phorate sulfoxide-1,183,1,1,0,0,GREEN,54,plots\test3_51\0054_chrom183_phorate sulfoxide-1_GREEN.png
