sample_id,ai_chrom_index,uid,n_ai_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order
test3_6,107.0,cinosulfuron-1,1,0,0,GREEN,1
test3_6,420.0,cyprodinil-2,1,0,0,GREEN,2
test3_28,272.0,pyriftalid-2,1,0,0,GREEN,3
test3_17,457.0,picoxystrobin-1,1,0,0,GREEN,4
test3_17,128.0,metsulfuron-methyl-2,1,0,0,GREEN,5
test3_9,379.0,acetochlor-1,2,0,2,RED,6
test3_54,529.0,pyraclostrobin-1,1,0,0,GREEN,7
test3_52,246.0,clomazone-2,1,0,0,GREEN,8
test3_9,58.0,acetamiprid-2,1,0,0,GREEN,9
test3_44,701.0,pyridalyl-1,1,0,0,GREEN,10
test3_8,388.0,napropamide-2,3,0,2,RED,11
test3_37,455.0,etrimfos-1,1,0,0,GREEN,12
test3_56,336.0,mandipropamid-2,1,0,0,GREEN,13
test3_51,243.0,flumorph-1,1,0,0,GREEN,14
test3_40,137.0,simazine-1,1,0,0,GREEN,15
test3_19,260.0,fenobucarb-2,2,0,1,RED,16
test3_38,24.0,flonicamid-2,1,0,0,GREEN,17
test3_42,152.0,fenamiphos sulfoxide-2,1,0,0,GREEN,18
test3_25,162.0,fenamiphos sulfone-2,1,0,0,GREEN,19
test3_46,426.0,Fenoxycarb-2,1,0,0,GREEN,20
test3_26,413.0,thifluzamide-1,1,0,0,GREEN,21
test3_40,531.0,benzoximate-1,1,0,0,GREEN,22
test3_43,52.0,3-hydroxy carbofuran-2,1,0,0,GREEN,23
test3_18,501.0,tolclofos-methyl-1,1,0,0,GREEN,24
test3_24,11.0,aldicarb sulfoxide-1,1,0,1,YELLOW,25
test3_22,679.0,chlorfluazuron-1,1,0,0,GREEN,26
test3_12,191.0,phorate sulfone-1,3,0,2,RED,27
test3_32,242.0,metazosulfuron-2,1,0,0,GREEN,28
test3_47,157.0,carbaryl-1,1,0,0,GREEN,29
test3_10,475.0,isofenphos-methyl-1,1,0,0,GREEN,30
test3_21,690.0,bioresmethrin-2,1,0,0,GREEN,31
test3_35,26.0,thiamethoxam-2,1,0,0,GREEN,32
test3_32,515.0,oxadiargyl-1,1,0,0,GREEN,33
test3_31,216.0,tribenuron-methyl-2,1,0,0,GREEN,34
test3_4,371.0,fluopyram-1,1,0,0,GREEN,35
test3_11,529.0,pyraclostrobin-1,1,0,0,GREEN,36
test3_32,653.0,coumoxystrobin-1,1,0,0,GREEN,37
test3_48,225.0,orthosulfamuron-1,1,0,0,GREEN,38
test3_21,511.0,coumaphos-1,1,0,0,GREEN,39
test3_41,209.0,propachlor-1,1,0,0,GREEN,40
test3_22,136.0,carbofuran-2,1,0,0,GREEN,41
test3_31,479.0,zoxamide-1,1,0,0,GREEN,42
test3_37,247.0,azinphos-methyl-1,1,0,0,GREEN,43
test3_50,112.0,probenazole-2,1,0,0,GREEN,44
test3_28,500.0,pyraflufen-ethyl-2,1,0,0,GREEN,45
